Name:counter
letter,exact_counts,fixed_counts,fixed_prob_small,fixed_prob_av,fixed_prob_larg,fixed_max_dev,fixed_mad,fixed_stdd_dev,csuros_counts,cs_small,cs_av,cs_larg,cs_max_dv,cs_mad,cs_stdd_dev 
L,89699,11210089,W:273,8256154.96,E:28822764,20566609.04,6254247.632,7724448.162,1345485,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
M,44838,5608882,W:273,8256154.96,E:28822764,20566609.04,6254247.632,7724448.162,672570,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
N,113491,14194342,W:273,8256154.96,E:28822764,20566609.04,6254247.632,7724448.162,1702365,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
O,163643,20451333,W:273,8256154.96,E:28822764,20566609.04,6254247.632,7724448.162,2454645,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
P,35601,4450364,W:273,8256154.96,E:28822764,20566609.04,6254247.632,7724448.162,534015,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
Q,32709,4089826,W:273,8256154.96,E:28822764,20566609.04,6254247.632,7724448.162,490635,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
R,101534,12694868,W:273,8256154.96,E:28822764,20566609.04,6254247.632,7724448.162,1523010,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
S,126537,15819657,W:273,8256154.96,E:28822764,20566609.04,6254247.632,7724448.162,1898055,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
T,62248,7780761,W:273,8256154.96,E:28822764,20566609.04,6254247.632,7724448.162,933720,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
U,80149,10019101,W:273,8256154.96,E:28822764,20566609.04,6254247.632,7724448.162,1202235,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
V,17995,2246574,W:273,8256154.96,E:28822764,20566609.04,6254247.632,7724448.162,269925,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
W,2,273,W:273,8256154.96,E:28822764,20566609.04,6254247.632,7724448.162,30,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
X,380,47380,W:273,8256154.96,E:28822764,20566609.04,6254247.632,7724448.162,5700,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
Y,25213,3150611,W:273,8256154.96,E:28822764,20566609.04,6254247.632,7724448.162,378195,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
Z,6543,817982,W:273,8256154.96,E:28822764,20566609.04,6254247.632,7724448.162,98145,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
Name: spannish
10000
A,201797,252259468,W:2515,82564568.4,E:288261484,205696915.6,62546458.96,77256867.37,3026955,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
B,24277,30343742,W:2515,82564568.4,E:288261484,205696915.6,62546458.96,77256867.37,364155,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
C,59916,74890650,W:2515,82564568.4,E:288261484,205696915.6,62546458.96,77256867.37,898740,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
D,87946,109921216,W:2515,82564568.4,E:288261484,205696915.6,62546458.96,77256867.37,1319190,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
E,230617,288261484,W:2515,82564568.4,E:288261484,205696915.6,62546458.96,77256867.37,3459255,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
F,7624,9528818,W:2515,82564568.4,E:288261484,205696915.6,62546458.96,77256867.37,114360,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
G,17348,21683557,W:2515,82564568.4,E:288261484,205696915.6,62546458.96,77256867.37,260220,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
H,20011,25008703,W:2515,82564568.4,E:288261484,205696915.6,62546458.96,77256867.37,300165,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
I,90586,113219759,W:2515,82564568.4,E:288261484,205696915.6,62546458.96,77256867.37,1358790,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
J,10616,13271788,W:2515,82564568.4,E:288261484,205696915.6,62546458.96,77256867.37,159240,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
L,89699,112122628,W:2515,82564568.4,E:288261484,205696915.6,62546458.96,77256867.37,1345485,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
M,44838,56043838,W:2515,82564568.4,E:288261484,205696915.6,62546458.96,77256867.37,672570,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
N,113491,141865947,W:2515,82564568.4,E:288261484,205696915.6,62546458.96,77256867.37,1702365,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
O,163643,204556324,W:2515,82564568.4,E:288261484,205696915.6,62546458.96,77256867.37,2454645,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
P,35601,44505779,W:2515,82564568.4,E:288261484,205696915.6,62546458.96,77256867.37,534015,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
Q,32709,40889967,W:2515,82564568.4,E:288261484,205696915.6,62546458.96,77256867.37,490635,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
R,101534,126926575,W:2515,82564568.4,E:288261484,205696915.6,62546458.96,77256867.37,1523010,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
S,126537,158162458,W:2515,82564568.4,E:288261484,205696915.6,62546458.96,77256867.37,1898055,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
T,62248,77797513,W:2515,82564568.4,E:288261484,205696915.6,62546458.96,77256867.37,933720,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
U,80149,100180562,W:2515,82564568.4,E:288261484,205696915.6,62546458.96,77256867.37,1202235,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
V,17995,22496687,W:2515,82564568.4,E:288261484,205696915.6,62546458.96,77256867.37,269925,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
W,2,2515,W:2515,82564568.4,E:288261484,205696915.6,62546458.96,77256867.37,30,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
X,380,475692,W:2515,82564568.4,E:288261484,205696915.6,62546458.96,77256867.37,5700,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
Y,25213,31520997,W:2515,82564568.4,E:288261484,205696915.6,62546458.96,77256867.37,378195,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
Z,6543,8177543,W:2515,82564568.4,E:288261484,205696915.6,62546458.96,77256867.37,98145,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
Name: portuguese
1000
A,34308,4286229,Y:1010,1287157.958,A:4286229,2999071.042,957656.955,1221451.601,514620,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
B,2393,299952,Y:1010,1287157.958,A:4286229,2999071.042,957656.955,1221451.601,35895,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
C,7937,991584,Y:1010,1287157.958,A:4286229,2999071.042,957656.955,1221451.601,119055,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
D,12314,1539179,Y:1010,1287157.958,A:4286229,2999071.042,957656.955,1221451.601,184710,Y:120,154425.625,A:514620,360194.375,114901.927,146598.103
